#,zipcode,Location,Median,County
1,98039,Medina,"$2,400,000",King County
2,98004,Bellevue,"$1,279,000",King County
3,98040,Mercer Island,"$1,237,500",King County
4,98112,Seattle,$956327,King County
5,98075,Sammamish,"$930,000",King County
6,98006,Bellevue,"$831,750",King County
7,98077,Woodinville,"$827,495",King County
8,98033,Kirkland,"$825,000",King County
9,98105,Seattle,"$810,000",King County
10,98074,Sammamish,"$767,993",King County
11,98119,Seattle,"$757,000",King County
12,98199,Seattle,"$750,000",King County
13,98005,Bellevue,"$740,000",King County
14,98107,Seattle,"$738,288",King County
15,98110,Bainbridge Island,"$730,000",Kitsap County
16,98053,Redmond,"$722,501",King County
17,98117,Seattle,"$700,500",King County
18,98115,Seattle,"$696,000",King County
19,98122,Seattle,"$691,000",King County
20,98052,Redmond,"$690,000",King County
21,98008,Bellevue,"$685,900",King County
22,98103,Seattle,"$675,000",King County
23,98109,Seattle,"$673,500",King County
24,98116,Seattle,"$652,000",King County
25,98102,Seattle,"$637,500",King County
26,98177,Seattle,"$630,000",King County
27,98072,Woodinville,"$627,500",King County
28,98020,Edmonds,"$627,500",Snohomish County
29,98029,Issaquah,"$624,500",King County
30,98065,Snoqualmie,"$610,000",King County
31,98136,Seattle,"$600,000",King County
32,98027,Issaquah,"$589,444",King County
33,98144,Seattle,"$589,000",King County
34,98050,Preston,"$582,500",King County
35,98101,Seattle,"$575,000",King County
36,98028,Kenmore,"$567,000",King County
37,98024,Fall City,"$560,500",King County
38,98333,Fox Island,"$550,000",Pierce County
39,98014,Carnation,"$545,000",King County
40,98121,Seattle,"$537,000",King County
41,98296,Snohomish,"$520,000",Snohomish County
42,98070,Vashon,"$515,000",King County
43,98019,Duvall,"$509,995",King County
44,98125,Seattle,"$508,167",King County
45,98104,Seattle,"$497,000",King County
46,98059,Renton,"$495,000",King County
47,98034,Kirkland,"$487,250",King County
48,98011,Bothell,"$480,000",King County
49,98126,Seattle,"$479,950",King County
50,98155,Seattle,"$475,000",King County
